ID,Name,Categories,ReviewsNum,Rating,Zip,lat,long,Address
yPSejq3_erxo9zdVYTBnZA,Los Agaves,Mexican,3647,4.5,93101,34.42753,-119.68657,"600 N Milpas St Santa Barbara, CA 93101"
U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,Seafood,2826,4,93109,34.4037593,-119.6939922,"119 Harbor Way Santa Barbara, CA 93109"
N2yaEsrV3OLaAPdEKsodOA,Paula's Pancake House,Breakfast & Brunch,2477,4,93463,34.59630585,-120.1440659,"1531 Mission Dr Solvang, CA 93463"
skY6r8WAkYqpV7_TxNm23w,Boathouse at Hendry's Beach,"Seafood, Breakfast & Brunch, American (New)",2334,4,93109,34.40325738,-119.7437519,"2981 Cliff Dr Santa Barbara, CA 93109"
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,"Seafood, Live/Raw Food, Beer Bar",2214,4,93101,34.4095078,-119.6856528,"230 Stearns Wharf Santa Barbara, CA 93101"
j_jtpErpfkZObxffzeQtpg,Jocko's Steak House,"Steakhouses, Bars",2088,4,93444,35.043024,-120.476447,"125 N Thompson Ave Nipomo, CA 93444"
GuzbBFraIq-fbkjfvaTRvg,Mesa Verde,"Vegetarian, Live/Raw Food, Burgers",1694,4.5,93109,34.4014219,-119.72302,"1919 Cliff Dr Santa Barbara, CA 93109"
6RBZfirnzE4NahJTn1UPNA,La Super-Rica Taqueria,Mexican,1679,4,93103,34.42803,-119.68713,"622 N Milpas St Santa Barbara, CA 93103"
GlXOTR2r9qAj-tgjdRZKow,Succulent Cafe,"Cafes, American (New), Comfort Food",1610,4,93463,34.596229,-120.143225,"1557 Mission Dr Solvang, CA 93463"
VXs5-rKrlP6qlHQtVpIqng,Solvang Brewing Company,"Breweries, American (Traditional)",1471,3.5,93463,34.5963,-120.14357,"1547 Mission Dr Solvang, CA 93463"
edJoBsse6nsF0BYh6pATAg,The Palace Grill,"Cajun/Creole, American (New), Seafood",1460,4.5,93101,34.4179959,-119.69631,"8 E Cota St Santa Barbara, CA 93101"
oGDGlUbOjHxmmCh8ZYcDCg,The Lark,"American (New), Cocktail Bars",1446,4,93101,34.4148777,-119.690279,"131 Anacapa St Ste A Santa Barbara, CA 93101"
lPbhwSsLhs7-4IZH5-aLNQ,Gen Korean BBQ House,"Barbeque, Korean",1387,3.5,93036,34.23981589,-119.1757829,"2721 Seaglass Way Oxnard, CA 93036"
#NAME?,Finch & Fork,"American (New), Breakfast & Brunch, Bars",1378,4,93101,34.420701,-119.7025009,"31 W Carrillo St Santa Barbara, CA 93101"
tthy48ZIX_wfY8Dy0Dvg6w,Bouchon,"French, American (New), Seafood",1353,4.5,93101,34.423983,-119.70586,"9 W Victoria St Santa Barbara, CA 93101"
3Wy21heeDm8h2tSZfcj6OA,Lure Fish House,"Seafood, Cocktail Bars, Wine Bars",1338,4.5,93105,34.43884928,-119.7481643,"3815 State St Ste G131 Santa Barbara, CA 93105"
FFHOgtQ2BIxaYhc60oeN3g,The Hitching Post II,"Steakhouses, Barbeque, Wine Bars",1324,4,93427,34.6086414,-120.1812993,"406 E Hwy 246 Buellton, CA 93427"
6uE-l18JnxaPGjASeXhfeA,Industrial Eats,"Pizza, Tapas/Small Plates, Soul Food",1319,4.5,93427,34.614195,-120.199903,"181 B Industrial Way Buellton, CA 93427"
Rl42JbSMsmNW3LRjsTMYAg,Freebirds,Mexican,1248,4,93117,34.4133,-119.85569,"879 Embarcadero Del Norte Isla Vista, CA 93117"
Cb_4PwbFkBu4-jjorzqCRA,Pea Soup Andersen's Restaurant,"American (Traditional), Breakfast & Brunch, Soup",1239,3.5,93427,34.61392,-120.19243,"376 Ave Of Flag Buellton, CA 93427"
QaFbv7aLQBcfT4xMF1_WnQ,Rockfire Grill,"Pizza, Burgers, Chicken Wings",1196,4.5,93117,34.412933,-119.857771,"6583 Pardall Rd Goleta, CA 93117"
9ugpNKKhnYRa51qXoxUw_A,Lilly's Tacos,Mexican,1164,4.5,93101,34.41449784,-119.6947937,"310 Chapala St Santa Barbara, CA 93101"
FEBwxZMEpxRwVXx9Fm0XZw,Chad's,"Breakfast & Brunch, Salad, American (Traditional)",1132,4,93101,34.41002,-119.69225,"216 W Cabrillo Blvd Santa Barbara, CA 93101"
fVUurZgbWXzp2QzDzJzmpA,Pickles & Swiss,"Delis, Sandwiches, Salad",1115,4.5,93101,34.41960161,-119.7001504,"811 State St unit E Santa Barbara, CA 93101"
uZYBF0YTU_iKq4_L_PDtMQ,Zaytoon,"Lebanese, Bars, Mediterranean",1088,4,93101,34.4229082,-119.6982262,"209 E Canon Perdido St Santa Barbara, CA 93101"
E7RtIisUoRMcADSebBgNAA,Santa Barbara FisHouse,"Seafood, Breakfast & Brunch, Tapas/Small Plates",1063,3.5,93101,34.41374,-119.68798,"101 E Cabrillo Blvd Santa Barbara, CA 93101"
Ss6f5v_t5Vddiaz4ZOxL0g,Andersen's Danish Bakery & Restaurant,"Bakeries, Breakfast & Brunch, Modern European",1059,4,93101,34.42264304,-119.7034089,"1106 State St Santa Barbara, CA 93101"
CzrxICTtbTVt7s7Dt0WrPQ,Pho Saigon,Vietnamese,1043,4.5,93041,34.1553062,-119.194721,"826 N Ventura Rd Port Hueneme, CA 93041"
CziOtnFSklimJnBgksDDwA,Pascucci,Italian,1041,3.5,93101,34.419107,-119.699243,"509 State St Santa Barbara, CA 93101"
p2MTwUKfcR17rmMCVK2ZAg,Solvang Restaurant,"Scandinavian, Breakfast & Brunch, American (Traditional)",1033,3.5,93463,34.59455,-120.1395,"1672 Copenhagen Dr Solvang, CA 93463"
SYHDOHRNAH-2xsw3XB5qbg,The Shop Kitchen,"American (New), Coffee & Tea, Breakfast & Brunch",1026,4.5,93103,34.42916929,-119.6889215,"730 N Milpas St Santa Barbara, CA 93103"
dOSKJQbN4rsqTH2tkHvkng,Goshi Japanese Restaurant,"Sushi Bars, Japanese, Beer Bar",1006,4.5,93401,35.27804811,-120.6666125,"570 Higuera St Ste 155 San Luis Obispo, CA 93401"
EaIf_WQf4I-CPV4uEzU5vg,Copenhagen Sausage Garden,"Hot Dogs, Comfort Food, Beer Gardens",1000,4.5,93463,34.594832,-120.1401604,"1660 Copenhagen Dr Solvang, CA 93463"
