date,location,review,stars,username
4/11/2021,"Hitchcock, Santa Barbara, CA","The food and service is great, the salad , empanada and mushroom burger is good.I will recommend it to my friends",5 star rating,Alex R.
7/26/2020,"Los Angeles, CA","Whether you're vegan or not, you must visit Mesa Verde. They are currently open for dine-in, with plenty of outdoor seating. The atmosphere is super cute, cozy, and green! I love the amount of greenery/plants around the restaurant. Parking is pretty easy here as they have their own lot in front. When the food first came out, I was immediately drawn to the presentation of the two plates because they were absolutely stunning. I see why Mesa Verde was featured in the Michelin Guide. The food tastes just as good as it looks. The impossible burrito is a must. It's HUGE and delicious! It's one of the prettiest burritos I've ever seen and it was loaded with flavor. My partner said it was the meatiest burrito he's ever had, even meatier than all the burritos he had as a meat eater. The waiter also recommended the green plant bowl and I'm so glad he did because it was packed with so many different ingredients. I loved the combination of different flavors and textures. The two of us miraculously finished everything on our plates, but we were SO FULL. I'll definitely need to come back and remind myself to save room for dessert.",5 star rating,Ashley H.
5/27/2021,"Santa Barbara, CA",Bring everyone you know here. Plates both beautiful and tasty. Nice outdoor seating and friendly service. Thanks Mesa Verde for bringing SB that vegan dining experience that is needed everywhere.,5 star rating,Jaycee F.
12/4/2020,"Orange County, CA","I'm one of those not-a-vegan-but-will-eat-vegan-food kind of people. I absolutely loved their mushroom burger on homemade bread - it's more of a flatbread than a bun, which I prefer! Their za'atar fries were excellently spiced. They have a small patio to work with during COVID so I assume they get pretty packed sometimes. Best spot for food I've been to in Santa Barbara thus far.",5 star rating,Julie L.
5/11/2021,"San Diego, CA","Eat here. Fantastic food. I had a curry dish topped with mushrooms that was very flavorful and filling. My wife had the green bowl, she ate most of and I got to finish.  Both were delicious for very different reasons. The curry was substantial with hunks of squash resting on a bed of couscous. While the flavors were familiar from dishes I've had, It was like a mix between a stew and a chili with simple glorious vegetables.The green bowl had two highlights the first being the  bed of lentils and fried rice that was unique. The sweet potato is a favorite and was highlight two, just tasty. The two sauces were well balanced and flavorful.",5 star rating,Steven A.
4/6/2021,"Brooklyn, NY","I appreciate what Mesa Verde is trying to do with Vegan cuisine. I have been here many times over the last year and would have given it a 5 star rating each time. The Brussels sprouts, tacos, grilled cheese, and squash quesadilla were always delicious.That said, I have come here two times recently and have been shocked with how much the food quality has declined. The last time I was there I asked our waiter if the items had changed -- the lack of flavor was so apparent-- and he retorted the chefs were the same so there's no way there would be any difference.I will not be coming back soon as there are much better vegan restaurants in Santa Barbara. I hope that Mesa Verde returns to their previous level of quality.",3 star rating,Nadia B.
2/28/2021,"Los Angeles, CA","Was very excited to find vegan food in Santa Barbara but this place let me down.1. There's no hostess so we stood around for about 10 minutes before we finally asked someone what to do. Waited another 15 for a table.2. Pretty poor service. I ordered a salad leaving out olives and onions. The salad had some of both anyway (Not an allergy problem but once I bit into them I was so revolted I couldn't finish my meal). 3. The salad was supposed to contain blackberries and beets. I counted three blackberries and two tiny baby beets. So it was basically lettuce for $16. 3. I had eaten the croutons, a few bites of lettuce, and one blackberry before having to stop. She took the salad away but then charged me for it! I politely expressed my surprise and she said ""well that's the policy, you ordered it."" Major customer service fail! In the end I did not pay but it was quite uncomfortable.Luckily, there's a grocery store across the street so I still got dinner!Food is interesting but portions quite small and overpriced.",2 star rating,B P.
5/3/2021,"Thousand Oaks, CA","Loved this place! My husband tried the street tacos and really liked them. He isn't quite convinced of the vegan cuisine yet and I think this meal got him much closer to considering more vegan dishes.My Mediterranean bowl was awesome. Best falafel I've had, hands down! So happy with our meals!",5 star rating,Stephanie C.
5/16/2021,"Santa Barbara, CA","I took my family to what we thought would be a great place to eat. No host, no one to really ask questions. So we sat at a table for 25 minutes while no servers looked our way even though tables next to us were being waited on. I finally asked the cashier if we had to order out front. The poor girl was so flustered by her pissed off waitress co worker that she came over to take our order. She said I'm not even supposed to be taking orders. We waited another 25 minutes and nothing came at all. I walked over to ask the manager what was going on and the ticket for food had not even started to be made and no drinks brought out. I'm afraid that because of the pandemic the restaurant can't keep a full staff. I felt horrible for the cashier because she was in tears and she was trying to do her best. Ultimately we walked out without eating or drinking anything. I will never go back.",1 star rating,Matt R.
5/14/2021,"San Francisco, CA","First thing first! THE SMOOTHIE IS 10/10. Get the "" CALYPSO "" MY ASS IS LACTOSE INTOLERANT. I guap that shit down and it's homemade almond milk so no diary. It was soooo goooood. It's Bananas, Strawberries, Blueberries with Blue Agave. We are from the Bay Area. We found this place on the way back home. I'm not even vegetarian but then the food was really good! The Raja Tacos was really good and the Pizza, also the Impossible burrito was good too. Staff was super friendly, I would come back here if I lived closer.",5 star rating,Julia D.
12/9/2020,"Los Angeles, CA","I was dining here when one of my dearest friends was a grad student, over a year ago. We changed tables for better lighting because the poor thing needed to do readings for class. Our servers were super friendly and accommodating, letting us change tables so easily.We found our food to be super yummy! We ordered the Green Bowl and the Rajas Tacos. I'm pretty greedy so I am inclined to want to try everything. My friend Jules is just about as adventurous as I am, so we are good team when it comes to trying out new food. We got food to share, back when it was socially acceptable. Our food came out rather quickly, probably because it was not too busy when we were dining.One thing to note for me was that the baklava was not the best baklava I've had. I'm still trying to figure out if I like baklava, but I was not yet convinced. It was super sweet, not unlike our wonderful servers.",5 star rating,Nathan N.
5/9/2021,"Burbank, CA","I placed an order online at 4:43 for a 5:30 pickup. I also called and confirmed the order. I arrived at 5:30 and they could not find the order. (As always, I tipped when I first placed our order,18%, then more would be added to a good order.)  They said it would be 10 minutes, but it was 5:55 before I received the order. At no time did anyone apologize.  We love to support vegan restaurants and we have enjoyed eating here in the past, in fact, I recommended it just today. We live out of the area and haven't been here since July 2020, I wonder if management changed. The socca pizza was delicious (thus 2 stars rather than 1 star) but the autumn salad was missing the listed blackberries.  Disappointing experience.",2 star rating,Sharon S.
4/10/2021,"Sausalito, CA","We came to Mesa to meet up with family to reconnect after a year of isolation once the older members have been vaccinated. We sat outside, it is shaded with sufficient spacing between tables. Service is extremely attentive and friendly! As we were waiting we had the grilled flatbread with hummus which is delicious! We also had the pizza, the street tacos, the Mediterranean Bowl, the Caesar salad & green bowl. All the food was fresh and delicious, and we were all happy with our dishes. Highly recommend, not only for vegans but everyone who appreciates healthy and yummy food!",5 star rating,Yael B.
3/22/2021,"Santa Barbara, CA","Mesa Verde is consistently good but it's not going to blow you away. It's not my favorite place in town, but if you want some healthy options it's a good go-to. Personally, however, I think it's way overpriced for what you get. You can spend less and get more food at The Natural Cafe, which has similar options. I have tried both of their tacos--the street tacos and the rajas tacos. Both are average. The street tacos are very filling, and I recommend them if you like jackfruit! The rajas tacos are a bit of a let down. I can easily make the same tacos at home for a fourth of the price. They really just had grilled veggies, avo, and some vegan cheese. The tortillas are quite good and hold up to the toppings. I've also tried their curry, risotto, and Brussels sprouts. Each of the options looked so much better in the pictures but the flavors just did not go well together. I have left hungry each time, which is a bit of a disappointment after spending a lot of money (it's not cheap!). The Brussels sprout appetizer is about $15...seems to be way overpriced.",3 star rating,Mattie W.
7/8/2020,"Manhattan Beach, CA","Quick recap:-          Food: Good-          Portion size: Average-          Service: Table service; Nice Staff-          Environment: Casual-          $: Sort of overpriced -          Perks: Outside patioMore details:Went there for lunch. We had a California salad ($16) and the Street Tacos ($14). It was good, but nothing to write home about.In my opinion, the food looks way better than it actually tastes. Was a bit disappointed to basically pay $18 (tips included) for a salad and walk out still very hungry. The staff is nice and helpful though.Overall?Loved the presentation. Taste was very average",4 star rating,Claryssr B.
12/31/2020,"West Hollywood, CA","Coming back from a road trip, we decided to drive by Santa Barbara on the way back to LA. I'm always on the hunt for some good vegan grub so when I saw this place had a Michelin star, I was like count me in!It was super cute inside but of course, due to COVID it was ""to go"" only. I opted for the ""grilled cheese"" which certainly not a grilled cheese. I would call it more of a ""creamy cheese sandwich."" It was super creamy and tart due to the pickles and mustard. A pleasant surprise was the spicy pepper but it wasn't that overwhelming. The sandwich came with potato chips which were alright. The whole meal was very greasy and messy. The sandwich was pretty flavorful but the bread kinda hurt my mouth. My boyfriend got the mushroom umami burger. We didn't get a pic but he liked it. It was covered in beets (and I hate beets) so I didn't try it. He said it was good but ""pretty earthy.""They have a pretty great menu so we will come back when we stay in Santa Barbara. We might not have hit a home run but I'm sure we will the next time.",3 star rating,Katie H.
12/5/2020,"Santa Barbara, CA","I've reviewed Mesa Verde before with 5 stars and I've always ordered the street tacos, which are really very good.We (party of 4) had the polenta fries, which is our typical starter, and they were typically great. So crunchy and yummy.I was going to order the mushroom umami burger, but asked the waiter (who was great) for recommendations and ordered the couscous instead. I've got to say, it was just okay. There was some sort of chili/cumin spice and there was so much of it, that it overpowered the whole dish. It was impossible to distinguish any other flavor in the dish, because every bite tasted exactly the same, like chili/cumin overdose.For dessert, I ordered the chocolate hazelnut dessert, which was super dry. I didn't finish either dish and took the couscous home. The next day, I threw it out. Hubby ordered the Mediterrenean bowl, which he liked. One guest had the special pizza, which she mostly didn't eat and didn't really like.I do have to say that the atmosphere was lovely, which is pushing my 3 stars to 4. They have big barrels on wheels that are portable fireplaces. They produced alot of heat and wonderfully romantic light. We were very happy with the atmosphere and the wine/beer list. But, the food wasn't as good as it has been in the past.",4 star rating,Harriet E.
2/2/2021,"Ventura, CA","I have been wanting to try this restaurant for a while, unfortunately I have turned away a handful of times because I was not able to find parking in that teeny tiny small lot. On this particular day I put it out to the universe that I was going to get a parking spot, and as I pulled in there was one right in front. Thank you, universe. :) They had just re-opened for dining on the patio, but I opted for takeout. I let them know it was my first time and they helped me with a couple of suggestions. I decided on the jackfruit tacos and the baklava for dessert. It took a little while to get my food, but it was understandable, because like I said it was their first day of having patio dining open again and the place was busy. All of the staff were so nice though. When my food arrived it was most certainly worth the wait. High-quality, great presentation, unique flavors. My goodness!! This is terrific vegan Mexican food. In the future I will deal with the crappy minimal parking and make my way back in. Looking forward to trying more of their items soon.",4 star rating,Sanaz S.
5/4/2021,"Los Angeles, CA",It's been too long!  I still love this place and chose it to be my first dining experience since March 2020 (when of course I stopped dining out). It just doesn't disappoint. Great food and service as usual!!,5 star rating,Jon N.
5/25/2021,"Fountain Valley, CA",Great Vegan cuisine with some creative and delicious choices! Service needs to be refined but I'm easy to please.,4 star rating,Jana M.
5/21/2021,"San Francisco, CA","This is a review for takeout only. Was really excited to try this place, and the food was tasty but not amazing. Beautiful presentation, but emphasis seemed to be on plating and the sauces. We got the green plant bowl and the impossible burrito. The impossible burrito was enormous, flavorful, but lacked texture given so much sauce. The green plant bowl was good, but heavy on the rice and sauces without many veggies. The potatoes had also sprouted. All in all, would rather spend half the $$ at Natural Cafe.",3 star rating,Katie R.
